Sale_ID,Date,Customer_ID,Bike_Model,Price,Quantity,Store_Location,Salesperson_ID,Payment_Method,Customer_Age,Customer_Gender
1,11-07-2022,9390,Cruiser,318.32,1,Philadelphia,589,Apple Pay,70,Female
2,03-05-2024,3374,Hybrid Bike,3093.47,4,Chicago,390,Apple Pay,37,Male
3,01-09-2022,2689,Folding Bike,4247.99,3,San Antonio,338,PayPal,59,Female
4,28-09-2022,3797,Mountain Bike,1722.01,3,San Antonio,352,Apple Pay,19,Male
5,05-01-2021,1633,BMX,3941.44,3,Philadelphia,580,PayPal,67,Female
6,06-09-2021,9663,Mountain Bike,1778.12,5,Chicago,829,Google Pay,42,Male
7,08-06-2020,6049,Hybrid Bike,1513.6,4,Philadelphia,916,Google Pay,20,Male
8,22-08-2021,5784,Road Bike,3825.94,1,Philadelphia,291,Debit Card,57,Male
9,04-10-2020,9649,Road Bike,614.94,3,San Antonio,906,Debit Card,62,Male
10,22-03-2023,3977,Electric Bike,2707.4,5,Los Angeles,562,PayPal,65,Male
11,14-08-2022,3879,Road Bike,3350.94,4,Houston,296,Debit Card,41,Male
12,11-04-2022,1762,Cruiser,2751.96,3,New York,832,Google Pay,27,Female
13,04-04-2021,9079,Folding Bike,2087.23,1,Los Angeles,194,Apple Pay,46,Female
14,03-10-2022,9754,BMX,1801.14,2,San Antonio,811,Apple Pay,45,Male
15,25-01-2021,8199,Cruiser,1326.01,5,Chicago,889,Credit Card,36,Male
16,08-02-2020,1773,BMX,2187.63,2,San Antonio,455,PayPal,25,Male
17,12-11-2021,7868,Folding Bike,732.01,4,Los Angeles,806,PayPal,59,Male
18,11-09-2021,3357,Cruiser,2646.24,3,Houston,663,Cash,21,Male
19,07-03-2022,4981,Hybrid Bike,1575.04,3,New York,416,Google Pay,53,Female
20,08-02-2020,8184,Hybrid Bike,1969.76,4,New York,386,Google Pay,51,Male
21,07-05-2021,4757,Electric Bike,1182.31,3,New York,725,PayPal,41,Female
22,05-06-2023,3344,Cruiser,4747.34,5,Los Angeles,865,Cash,68,Male
23,27-06-2022,3559,Mountain Bike,348.81,3,Philadelphia,502,Cash,55,Female
24,31-10-2020,8018,Cruiser,2816.85,5,New York,682,Google Pay,29,Male
25,07-04-2024,7030,BMX,1099.15,4,San Antonio,924,Debit Card,54,Male
26,07-02-2022,1209,Mountain Bike,591.21,2,Phoenix,878,PayPal,30,Male
27,21-09-2021,8072,Mountain Bike,1958.22,3,Philadelphia,933,Credit Card,25,Female
28,25-11-2022,9164,Hybrid Bike,4181.42,4,Phoenix,346,Google Pay,36,Female
29,17-07-2023,5981,Hybrid Bike,3186.93,2,Philadelphia,209,Google Pay,29,Female
30,27-11-2022,7201,BMX,4897.8,1,Philadelphia,117,Apple Pay,28,Male
31,24-04-2024,5301,Folding Bike,4141.54,1,New York,404,Apple Pay,43,Female
32,16-06-2023,7037,Cruiser,2970.31,5,Philadelphia,897,Apple Pay,59,Male
33,06-01-2020,5757,Hybrid Bike,1064.37,2,Phoenix,117,Cash,47,Male
34,05-09-2020,1215,Cruiser,270.78,5,New York,938,PayPal,46,Female
35,27-01-2023,3148,BMX,4885.14,3,New York,782,PayPal,18,Female
36,23-10-2021,5053,Cruiser,2276.31,2,Los Angeles,160,Google Pay,23,Male
37,26-05-2021,2849,Hybrid Bike,4234.49,2,Phoenix,747,Cash,41,Female
38,14-02-2022,8004,BMX,4448.18,2,Phoenix,680,Debit Card,44,Male
39,14-06-2020,5802,Folding Bike,4188.82,1,Los Angeles,926,Credit Card,46,Male
40,28-03-2021,1602,Folding Bike,2611.56,2,New York,655,Apple Pay,21,Male
41,21-12-2020,2693,Mountain Bike,3454.15,1,Philadelphia,708,PayPal,37,Female
42,24-11-2022,2554,BMX,4617.56,4,Phoenix,766,Debit Card,36,Male
43,01-09-2024,4677,Mountain Bike,1812.26,2,Houston,393,Cash,40,Male
44,17-09-2021,6716,Mountain Bike,1959.85,3,Chicago,175,PayPal,38,Female
45,03-08-2021,6791,Mountain Bike,4161.05,4,San Antonio,883,PayPal,28,Male
46,22-09-2021,7356,Mountain Bike,1261.89,5,Los Angeles,506,Credit Card,37,Female
47,23-01-2024,9785,BMX,2189.68,3,Los Angeles,389,PayPal,28,Female
48,14-06-2022,1097,Hybrid Bike,1614.07,2,San Antonio,725,Cash,43,Male
49,17-08-2022,6046,Folding Bike,724.25,4,Los Angeles,766,Apple Pay,54,Female
50,17-04-2022,7319,Electric Bike,2703.48,2,San Antonio,826,Google Pay,53,Female
51,06-03-2024,1983,Hybrid Bike,3362.4,1,Los Angeles,315,Debit Card,22,Female
52,14-11-2022,9552,Road Bike,2296.64,3,New York,825,Cash,29,Female
53,12-08-2021,8543,Road Bike,3716.82,3,Houston,336,Debit Card,57,Male
54,07-07-2023,8173,Cruiser,4491.92,2,Los Angeles,324,PayPal,31,Male
55,05-10-2022,3104,Folding Bike,2229.03,3,San Antonio,291,Cash,42,Male
56,26-07-2020,9651,Folding Bike,3687.35,2,Chicago,621,Apple Pay,33,Male
57,02-04-2022,9123,Electric Bike,2845.33,5,Los Angeles,534,Google Pay,32,Male
58,07-04-2023,7956,Cruiser,4650.37,4,Philadelphia,632,Cash,47,Female
59,24-01-2021,1672,Electric Bike,4521.32,1,New York,252,Debit Card,44,Male
60,17-04-2023,2050,Cruiser,599.68,1,Los Angeles,503,PayPal,49,Female
61,25-09-2023,5338,Cruiser,4882.87,3,Houston,521,Debit Card,60,Male
62,26-10-2020,4277,Mountain Bike,3481.35,4,New York,679,PayPal,65,Male
63,06-10-2021,7707,Road Bike,447.62,5,Houston,104,Apple Pay,34,Female
64,27-03-2020,3917,Mountain Bike,2607.09,1,Houston,432,Apple Pay,50,Male
65,11-08-2023,8891,Hybrid Bike,3167.84,2,San Antonio,552,PayPal,62,Male
66,15-09-2024,5817,BMX,3690.47,4,Philadelphia,515,PayPal,66,Male
67,11-05-2020,2805,Road Bike,1121.19,4,New York,406,Debit Card,40,Female
68,13-04-2020,8183,Mountain Bike,487.62,4,Philadelphia,478,Google Pay,19,Male
69,09-07-2020,7033,Hybrid Bike,3761.62,5,Houston,288,Apple Pay,59,Female
70,23-01-2023,5757,Electric Bike,2921.16,5,Phoenix,473,Debit Card,65,Male
71,01-05-2023,1503,Road Bike,3360.87,5,Philadelphia,557,Cash,33,Female
72,31-05-2023,5707,Hybrid Bike,3340.64,4,Philadelphia,917,Debit Card,24,Male
73,01-01-2020,3495,Road Bike,3617.52,1,Philadelphia,485,Cash,53,Male
